IDX,Voltage 1,Voltage 2,Target Wl
241,0.9785707592964172,0.8855019211769104,1628.5845
242,0.9892973303794861,0.9902437925338745,1628.589
243,0.9407122731208801,0.9905592799186707,1628.5935
244,0.9318786263465881,1.1053967475891113,1628.598
245,1.0265249013900757,0.9776242971420288,1628.6025
246,0.9965535402297974,0.8719359636306763,1628.607
247,0.8949665427207947,0.9706835746765137,1628.6115
248,1.0369359254837036,0.9489149451255798,1628.616
249,1.10224187374115,1.0085420608520508,1628.6205
250,0.977939784526825,1.047347068786621,1628.625
251,1.0230544805526733,1.0299952030181885,1628.6295
252,1.0129588842391968,1.0107505321502686,1628.634
253,1.1088670492172241,1.1199091672897339,1628.6385
254,1.005071759223938,0.9435516595840454,1628.643
255,0.9962380528450012,0.9971845149993896,1628.6475
256,0.9183126091957092,0.975731372833252,1628.652
257,0.9817256331443787,1.0937236547470093,1628.6565
258,0.8974904417991638,0.927146315574646,1628.661
259,0.927146315574646,1.0148518085479736,1628.6655
260,1.106658697128296,1.0167447328567505,1628.67
261,0.9347180128097534,1.013589859008789,1628.6745
262,1.1028728485107422,0.980148196220398,1628.679
263,0.9378728866577148,1.0867829322814941,1628.6835
264,1.0388288497924805,0.929354727268219,1628.688
265,0.9949761033058167,1.1117064952850342,1628.6925
266,0.9501768946647644,1.0211615562438965,1628.697
267,0.9120028614997864,0.9284082651138306,1628.7015
268,0.9760468602180481,0.94481360912323,1628.706
269,0.9678441882133484,0.89780592918396,1628.7105
270,0.9214675426483154,0.9463910460472107,1628.715
271,1.040090799331665,0.9476529955863953,1628.7195
272,1.024316430091858,0.9672132134437561,1628.724
273,1.0167447328567505,0.9924522042274475,1628.7285
274,0.9826720952987671,0.833761990070343,1628.733
275,0.9422897100448608,0.9706835746765137,1628.7375
276,0.9489149451255798,0.8400717377662659,1628.742
277,0.9908747673034668,0.9653202891349792,1628.7465
278,0.8485898971557617,0.9943451285362244,1628.751
279,0.9075860381126404,0.9959225654602051,1628.7555
280,0.9946606159210205,0.9839340448379517,1628.76
281,0.9886663556098938,1.002232313156128,1628.7645
282,1.0394598245620728,0.9782552719116211,1628.769
283,1.0451385974884033,0.9006453156471252,1628.7735
284,0.9476529955863953,0.9012762904167175,1628.778
285,1.000339388847351,0.9179971218109131,1628.7825
286,0.9968690276145935,1.0479780435562134,1628.787
287,0.9804636836051941,0.8369168639183044,1628.7915
288,0.9656357765197754,0.9940296411514282,1628.796
289,0.9085325002670288,1.122433066368103,1628.8005
290,0.9870889186859131,0.9435516595840454,1628.805
291,0.9012762904167175,0.9385038614273071,1628.8095
292,1.0164293050765991,1.1142303943634033,1628.814
293,0.8716204762458801,0.9340870380401611,1628.8185
294,0.9542782306671143,0.962480902671814,1628.823
295,0.9107409119606018,0.9489149451255798,1628.8275
296,0.9085325002670288,1.0157983303070068,1628.832
297,1.075425386428833,1.0722705125808716,1628.8365
