IDX,Voltage,Target Wl
299,1.94694264,1627.8363746625
300,2.27378248,1627.8375
301,2.7768525,1627.8386248875001
302,3.37557324,1627.8397497750002
303,4.38621057,1627.8408746625
304,5.10648204,1627.842
305,5.37473751,1627.8431248875002
306,5.17714485,1627.8442497750002
307,4.50876709,1627.8453746625
308,3.8663057,1627.8465
309,3.07999207,1627.8476248875002
310,2.54608712,1627.8487497750002
311,2.18502789,1627.8498746625
312,1.90210702,1627.851
313,1.75142268,1627.8521248875002
314,1.67190845,1627.8532497750002
315,1.66076284,1627.8543746625
316,1.71478819,1627.8555
317,1.82314903,1627.8566248875
318,2.0298857,1627.857749775
319,2.34091715,1627.8588746624998
320,2.84373138,1627.86
321,3.43545749,1627.8611248875
322,4.38103156,1627.862249775
323,5.1482244,1627.8633746624998
324,5.37676858,1627.8645
325,5.3731069,1627.8656248875
326,5.36382884,1627.866749775
327,5.36053589,1627.8678746624998
328,5.31879717,1627.869
329,5.31919097,1627.8701248875
330,4.86905256,1627.871249775
331,4.04587787,1627.8723746624999
332,3.25429625,1627.8735
333,2.84070738,1627.8746248875
334,2.55934427,1627.875749775
335,2.25193182,1627.8768746624999
336,2.03709309,1627.878
337,1.81760223,1627.8791248875
338,1.69833674,1627.880249775
339,1.65164305,1627.8813746624999
340,1.67341534,1627.8825
341,1.75621937,1627.8836248875
342,1.88922038,1627.884749775
343,2.11420262,1627.8858746624999
344,2.46361597,1627.887
345,3.07504334,1627.8881248875
346,3.85386005,1627.889249775
347,4.63263715,1627.8903746624999
348,5.28623166,1627.8915
349,5.33414034,1627.8926248875
350,4.83874374,1627.893749775
351,4.11840867,1627.8948746625
352,3.263026,1627.896
353,2.68464694,1627.8971248875
354,2.29085391,1627.898249775
355,1.98455884,1627.8993746625
356,1.81411568,1627.9005
357,1.68272255,1627.9016248875
358,1.6491226,1627.902749775
359,1.6897021,1627.9038746625
360,1.8118945,1627.905
361,2.04615666,1627.9061248875
362,2.31848294,1627.907249775
363,2.73158698,1627.9083746625
364,3.32378449,1627.9095
365,4.1461237,1627.9106248875
366,4.9264944,1627.911749775
367,5.3546959,1627.9128746625
368,5.25934686,1627.914
369,5.24904294,1627.9151248875
370,5.35336037,1627.916249775
371,5.32743942,1627.9173746625
372,5.35956675,1627.9185
373,5.15985342,1627.9196248875
374,4.77038153,1627.920749775
375,4.25738022,1627.9218746625
376,3.68199215,1627.923
377,3.01776884,1627.9241248875
378,2.5072702,1627.925249775
379,2.17212461,1627.9263746625
380,1.87485014,1627.9275
381,1.72689474,1627.9286248875
382,1.65789498,1627.9297497750001
383,1.65558361,1627.9308746625
384,1.71527909,1627.932
385,1.86565513,1627.9331248875
386,2.20251022,1627.9342497750001
387,2.70171733,1627.9353746625
388,3.41543231,1627.9365
389,4.13997859,1627.9376248875
390,4.87339068,1627.9387497750001
391,5.34330058,1627.9398746625
392,5.3069251,1627.941
393,4.8659619,1627.9421248875
394,4.10211836,1627.9432497750001
395,3.53526298,1627.9443746625
396,2.83574801,1627.9455
397,2.33885105,1627.9466248875
398,2.00345787,1627.9477497750001
399,1.81906275,1627.9488746625
